STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/01/46,,54,31
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/02/46,,45,37
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/03/46,,60,37
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/04/46,,77,36
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/05/46,,77,45
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/06/46,,75,48
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/07/46,,74,57
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/08/46,,63,54
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/09/46,,64,38
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/10/46,,50,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/11/46,,46,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/12/46,,60,30
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/13/46,,72,43
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/14/46,,74,52
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/15/46,,70,49
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/16/46,,54,46
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/17/46,,48,43
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/18/46,,45,41
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/19/46,,47,39
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/20/46,,60,36
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/21/46,,66,37
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/22/46,,71,36
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/23/46,,62,43
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/24/46,,48,42
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/25/46,,69,43
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/26/46,,71,54
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/27/46,,79,53
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/28/46,,80,50
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/29/46,,68,52
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/30/46,,67,52
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",03/31/46,,61,40
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/01/46,,59,39
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/02/46,,83,55
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/03/46,,67,52
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/04/46,,70,48
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/05/46,,60,46
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/06/46,,66,43
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/07/46,,60,39
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/08/46,,47,39
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/09/46,,64,45
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/10/46,,57,39
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/11/46,,58,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/12/46,,53,40
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/13/46,,60,38
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/14/46,,66,43
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/15/46,,82,53
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/16/46,,69,50
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/17/46,,63,45
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/18/46,,75,39
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/19/46,,71,50
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/20/46,,76,52
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",04/21/46,,66,43
